-d-c----x---- : /atf_logger : mediatek,atf_logger : drivers/misc/mediatek/atf_log/atf_logger.c : atf_log-y : none
-dDc--------- : /soc/BAT_NOTIFY : mediatek,bat_notify : drivers/power/mediatek/battery_common.c : CONFIG_MTK_GAUGE_VERSION && CONFIG_MTK_GAUGE_VERSION && CONFIG_MTK_SMART_BATTERY : none
-dDc--------- : /soc/BAT_NOTIFY : mediatek,bat_notify : drivers/power/mediatek/battery_common_fg_20.c : !CONFIG_MTK_GAUGE_VERSION && CONFIG_MTK_GAUGE_VERSION && CONFIG_MTK_SMART_BATTERY : none

-d-c-E------- : /soc/accdet@1001b000 : mediatek,mt8167-accdet : drivers/misc/mediatek/accdet/accdet_drv.c : CONFIG_MTK_ACCDET : none

-dDc----x---- : /soc/als_ps@0 : mediatek,als_ps : drivers/misc/mediatek/alsps/alsps.c : obj-y : none
-dDc----x---- : /soc/als_ps@0 : mediatek,als_ps : drivers/misc/mediatek/alsps/cm36558/cm36558.c : obj-y : none
-dDc--------- : /soc/als_ps@0 : mediatek,als_ps : drivers/misc/mediatek/alsps/cm36652-new/cm36652.c : CONFIG_MTK_CM36652_NEW : none
-dDc----x---- : /soc/als_ps@0 : mediatek,als_ps : drivers/misc/mediatek/sensor_bio/alsps/alsps.c : obj-y : none
-dDc----x---- : /soc/als_ps@0 : mediatek,als_ps : drivers/misc/mediatek/sensor_bio/alsps/cm36558/cm36558.c : obj-y : none

MdDc--------- : /soc/apmixedsys@10018000 : mediatek,mt8167-apmixedsys : drivers/clk/mediatek/clk-mt8167.c : CONFIG_COMMON_CLK_MT8167 : none
MdDc----x---- : /soc/apmixedsys@10018000 : mediatek,mt8167-apmixedsys : drivers/misc/mediatek/freqhopping/mt8167/mtk_freqhopping.c : obj-y : none
MdDc----x---- : /soc/apmixedsys@10018000 : mediatek,mt8167-apmixedsys : drivers/misc/mediatek/hdmi/hdmitx/mt8167/hdmi_drv.c : CONFIG_MTK_INTERNAL_HDMI_SUPPORT && obj-y : none
